Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
Clearbridge,1H3,CLEA.SI,96.253,36.139,,,Healthcare Services,70,1.28,-11.24,16.18,12.86,-16.61,-10.88,,37.44,,1.76
CNMC Goldmine,5TP,CNMC.SI,120.119,39.633,66.76,1.36,Mineral Resources,79,5.36,21.76,54.57,10.49,5.24,3.1,14.94,2.27,,1.86
Colex,567,COLX.SI,24.119,59.481,10.12,2.47,Industrial & Commercial Services,60,-6.67,31.44,57.42,11.87,4.02,5.56,3.91,9.99,-12.54,0.55
Combine Will,N0Z,CWIHx.SI,30.675,223.979,4.39,5.26,Cyclical Consumer Products,64,-4.04,1.6,-4.04,-5.94,3.12,6.01,1.47,60.31,,0.3
ComfortDelGro,C52,CMDG.SI,3163.628,3504.3,28.08,3.62,Transportation,110,-1.35,2.1,-3.95,-39.92,4.18,4.47,5.61,32.74,,2.24
Cordlife,P8A,CORD.SI,93.634,58.051,11.86,2.86,Healthcare Services,59,-5.41,2.94,6.06,-16.67,12.95,6.01,7.48,3.77,,1.06
Cortina,C41,CORT.SI,311.287,513.813,7.92,3.19,Retailers,75,12.57,43.93,61.16,45.04,8.11,18.23,4.4,12.03,,1.11
COSCO SHP SG,F83,COSC.SI,416.5,177.56,99.47,,Transportation,55,-4.62,-7,-17.33,-33.57,2.65,0.78,9.94,50.81,,1.32
CosmoSteel,B9S,COSM.SI,23.813,83.024,4.27,3.05,Mineral Resources,85,9.33,1.23,12.33,2.5,6.72,7.22,2.21,40.44,,0.19
Courage Inv,CIN,1145.HK,116.348,89.956,,,Transportation,,51.43,7.07,32.5,6.53,-12.03,-3.24,,43.81,-24.18,0.44
CPH,539,CIPH.SI,6.146,,,,Real Estate,59,25,0,25,0,,,,3.53,,0.97
Creative,C76,CREA.SI,185.767,83.042,,,Technology Equipment,58,0,-13.89,6.44,-12.06,-28.73,-17.42,,0,,1.77
CromwellReit EUR,CNNU,CROM.SI,1214.138,188.334,17.14,7.94,Real Estate,95.4,0,5.56,18.75,-5.94,37.49,5.8,,59.26,,0.92
CromwellReit SGD,CSFU,,,,,,,,,,,,,,,,,
CSC,C06,CSCH.SI,43.973,342.789,7.73,,Industrial & Commercial Services,56,-5.88,-15.79,-15.79,-20,2.13,,1.22,89.38,6.08,0.38
CSE Global,544,CSES.SI,239.972,523.616,8.4,5.91,Software & IT Services,78,-4.12,1.09,17.72,-1.06,5.39,16,5.27,29.03,,1.46
CWX Global,594,CWXG.SI,7.79,3.468,,,Energy - Fossil Fuels,80,100,-33.33,0,-33.33,-98.83,-5.12,,38.94,,0.11
DairyFarm USD,D01,DAIR.SI,5140.271,10671.4,19.7,5.13,Food & Drug Retailing,,-4.28,-16.85,-23.23,-35.7,2.43,24.06,4.16,446.21,-7.86,9.07
Darco Water Tech,BLR,DRWT.SI,11.447,71.592,,,Industrial & Commercial Services,67,-15.86,-23.75,-6.87,-41.9,-18.47,-23.56,,19,-16.66,0.6
Dasin Retail Tr,CEDU,DASI.SI,620.3,77.837,,6.18,Real Estate,85.9,-0.62,1.91,-0.62,-5.33,-97.99,-9.62,,66.68,,0.66
Datapulse Tech,BKW,DATA.SI,41.624,2.584,,2.63,Technology Equipment,63,5.56,4.4,2.7,-11.63,-222.6,-7.77,,30.04,,0.68
DBS,D05,DBSM.SI,54889.32,14670,10,5.33,Banking & Investment Services,123,6.68,0.05,10.94,-14.23,35.95,10.62,8.95,116.48,,1.34
Debao Property,BTF,DPDL.SI,11.281,50.469,,,Real Estate,40,-21.05,-50,70.45,141.94,-85.43,-25.52,,187.24,66.52,0.03
Del Monte Pac,D03,DMPL.SI,730.258,2940.591,,5.69,Food & Beverages,109,0,46.06,44.62,12.36,-2.57,-9.2,6.11,345.48,14.37,0.34
Delfi,P34,DELF.SI,412.015,600.792,12.82,4.81,Food & Beverages,85,-4.93,-6.9,-3.57,-32.5,5.35,10.65,8.1,23.12,,2.67
Design Studio,D11,DESS.SI,21.602,114.686,,,Retailers,54,0,0,0,3.75,-44.71,-91.81,,0,-30.12,0.86
DISA,532,DISA.SI,20.077,6.958,,,Industrial Conglomerates,61,0,100,0,0,-196.44,-90.21,,0.82,1269.69,0.92
Don Agro,GRQ,DONA.SI,45.082,,,2.31,Food & Beverages,,7.14,15.38,-4.76,,,,,,,
Dragon,MT1,DRGN.SI,1.373,2.735,,,Industrial Goods,64,,,,,448.66,136.09,0.11,0,-29.87,
Dukang,BKV,DDHL.SI,5.203,22.982,,,Food & Beverages,54,0,18.18,-1.52,4.84,-65.24,-7.53,,11.29,,0.04
Dutech,CZ4,DTHL.SI,96.533,358.48,6.75,3.7,Technology Equipment,62,0,-6.9,31.71,28.57,3.99,7.14,3.34,22.17,,0.47
Duty Free Intl,5SO,DUTY.SI,103.298,154.229,,5.95,Transportation,63,-9.68,-12.5,-14.53,-29.49,-4.57,-3.58,,20.61,-18.08,0.75
Dyna-Mac,NO4,DMHL.SI,91.066,116.624,,,Industrial Goods,79,-4.3,-14.42,2.3,-1.11,-32.89,-44.16,,48.63,32.37,1.06
Eagle HTrust USD,LIW,EAGL.SI,119.567,74.346,,25.39,Real Estate,,0,0,0,-79.24,-54.04,-5.43,,65.08,,0.8
EC World Reit,BWCU,ECWO.SI,547.321,103.276,9.62,8.15,Real Estate,80.3,3.03,5.43,6.25,-7.48,54.65,8.23,,72.46,8.76,0.92
EcoWise,5CT,ECOW.SI,28.724,51.156,37.97,,Industrial & Commercial Services,78,7.14,7.14,30.43,20,2.22,2.04,6.25,45.36,,0.73
Edition,5HG,EDIT.SI,12.616,0.136,,,Food & Beverages,64,-16.67,-16.67,-16.67,0,-4115.44,-28.39,,1.7,34.65,0.56
Eindec,42Z,EIND.SI,11.093,8.817,,,Industrial Goods,58,25.61,296.15,329.17,,-27.54,-33.93,,25.6,-14.84,
EliteComREIT GBP,MXNU,ELIE.SI,213.363,,,,Real Estate,,4.07,-6.57,-3.76,,,,,,,
Ellipsiz,BIX,ELPZ.SI,55.083,54.235,,1.52,Technology Equipment,54,0,-2.94,11.86,-18.54,3.97,-0.6,16.17,0,,0.57
EMAS Offshore,UQ4,,,,,,,,,,,,,,,,,
Eneco Energy,R14,ENEC.SI,16.866,38.353,,,Transportation,38,0,0,0,-55.17,-69.26,,,167.1,-10.4,3.96
EnGro,S44,ENGR.SI,115.141,117.336,11.39,2.58,Mineral Resources,88,-4.9,23.57,10.23,-3.96,8.56,4.29,7.9,2.46,,0.43
Envictus,BQD,ETIK.SI,30.191,151.71,,,Cyclical Consumer Services,52,22,23.23,96.77,1.67,-9.66,-14.55,,47.1,,0.3
Enviro-Hub,L23,EHHL.SI,37.215,32.963,,,Industrial & Commercial Services,56,9.09,-23.4,200,80,-0.78,-1.29,12.07,230.99,,0.52
Epicentre,5MQ,EPHL.SI,2.875,-3.175,,,Retailers,54,,,,,,-65.18,,139.12,-62.4,2.05
ES,5RC,ESGL.SI,9.178,27.289,1.38,2.31,Industrial Goods,72,12.07,44.44,48.18,167.86,21.39,23.1,1.27,31.47,12.85,
ESR-REIT,J91U,ESRR.SI,1364.116,238.214,,6.95,Real Estate,86.1,-2.53,-3.75,10,-29.36,-29.43,-4.86,,83.07,,1.05
ETC Singapore,1C0,EMER.SI,25.429,34.187,8.39,,Real Estate,82,4,4,73.33,52.94,24.26,3.07,2.96,40.91,,0.15
EuroSports Gbl,5G1,EURO.SI,42.4,80.422,19.35,,Retailers,71,6.67,-5.88,45.45,-13.51,2.68,24.91,4.87,198.7,-16.43,6.58
Excelpoint,BDF,EXCE.SI,40.667,1379.681,12.09,,Technology Equipment,72,0,-2.86,6.25,-20.93,0.24,3.2,4.52,177,,0.6
Ezion,5ME,EZHL.SI,157.263,77.203,,,Energy - Fossil Fuels,82,,,,,-837.77,,,,-48.42,
Ezra,5DN,EZRA.SI,32.243,713.044,,,Energy - Fossil Fuels,30,,,,,-176.69,-121.68,,133.16,-3.44,0.25
F & N,F99,FRNM.SI,1740.103,1947.256,11.61,4.58,Food & Beverages,79,-4.76,-11.76,-17.81,-29.82,10.82,5.14,6.09,23.45,5.15,0.92
Fabchem China,BFT,FBCH.SI,7.274,23.305,,,Chemicals,68,3.33,6.9,-2.52,,-32.48,-21.5,,30.17,,0.19
Falcon Energy,5FL,FEGL.SI,23.276,40.426,,,Energy - Fossil Fuels,50,,,,,-326.67,-109.48,,156.31,-55.62,0.22
Far East,5TJ,FAEA.SI,12.484,62.125,,1.61,Industrial Goods,68,-4.27,-12.5,19.15,-6.67,-7.7,-9.45,,92.29,13.39,0.31
Far East HTrust,Q5T,FAEH.SI,1096.697,104.091,23.38,4.48,Real Estate,99.2,-0.88,12,14.29,-20.57,44.59,2.78,,60.6,,0.77
Far East Orchard,O10,FARE.SI,448.652,145.739,22,6.09,Cyclical Consumer Services,92,0.51,-2.48,-1.5,-15.09,9.94,1.59,11.6,45.96,,0.42
Federal Int,BDU,FEDL.SI,22.241,70.453,,,Energy - Fossil Fuels,83,-3.66,-7.06,-15.96,-26.51,-2.32,-2.43,26.23,32.1,,0.34
Figtree,5F4,FIGT.SI,35.591,9.68,,3,Real Estate,70,11.11,58.73,88.68,-9.09,-29.46,-5.4,,6.23,,0.7
First Reit,AW9U,FRET.SI,349.968,96.259,12.77,,Real Estate,74.9,-4.4,-38.3,-45.63,-57.35,31.72,3.18,11.46,55.83,,0.94
First Resources,EB5,FRLD.SI,1964.25,814.832,14.03,2.2,Food & Beverages,94,-5.34,-10.79,-3.13,-20,18.06,10.39,7.86,42.16,,1.93
First Sponsor,ADN,FSCA.SI,1187.244,298.537,7.69,2.08,Real Estate,86,4,18.43,19.49,2.94,61.51,11.97,6.11,55.57,,0.7
FJ Benjamin,F10,FJBN.SI,12.739,92.915,,,Retailers,53,-17.65,-22.22,-46.15,-56.25,-16.09,-32.99,,38.56,,0.52
Food Empire,F03,FEMP.SI,323.672,384.322,9.06,1.67,Food & Beverages,42,2.56,14.29,15.45,17.67,9.13,13.22,7.04,27.62,,1.01
Forise Int,8A1,FOIL.SI,8.031,0.678,,,Industrial & Commercial Services,,46.88,-24.8,276,25.33,-856.61,-96.13,,0,,
FortressMinerals,OAJ,FORR.SI,99.875,43.964,6.85,1.8,Mineral Resources,65,-9.09,-6.98,0,-4.76,33.14,33.02,5.05,2.89,16.96,2.99
Fragrance,F31,FRAG.SI,766.08,91.162,10.8,3.07,Real Estate,60,-0.87,-1.72,0.88,-1.91,77.54,5.58,10.44,125.63,,0.6
Frasers Cpt Tr,J69U,FCRT.SI,3934.829,197.291,11.37,3.31,Real Estate,76.2,-9.8,0.66,14.41,-15.33,114.94,10.29,17.35,42.12,0.74,1.14
Frasers HTrust,ACV,FRHO.SI,826.135,137.166,22.63,5.54,Real Estate,86.3,-1.15,-6.52,-14,-40.28,29.75,2.44,18.53,54.99,-9.87,0.91
Frasers L&C Tr,BUOU,FRAE.SI,4629.016,243.489,12.97,5.29,Real Estate,92.5,-4.23,13.33,33.33,5.43,94.61,11,,56.49,10.62,1.27
Frasers Property,TQ5,FRPL.SI,3393.767,3907.807,7.93,3.1,Real Estate,87,-2.52,-4.13,-7.94,-34.46,27.58,4.81,3.22,165.9,-17.71,0.56
Frencken,E28,FREN.SI,443.147,628.234,10.71,2.88,Industrial Goods,57,7.22,10.05,42.47,50.72,6.59,13.97,7.09,30.35,,1.01
FSL Trust,D8DU,FSLT.SI,132.439,95.919,7.44,,Transportation,81.4,5.63,-6.25,36.36,68.97,18.54,7.5,2.72,46.66,2.5,0.28
Fu Yu,F13,FUYU.SI,180.719,168.938,12.03,6.67,Industrial Goods,84,-2.04,2.13,6.67,6.67,8.89,9.25,7.02,5.71,,0.96
Fuji Offset,508,FOPS.SI,20.963,4.424,15.88,0.71,Industrial Goods,79,0,-2.33,0,-6.67,30.76,4.75,10.97,0.46,-4.01,
Full Apex,BTY,FULL.SI,17.789,201.304,,,Applied Resources,7,,,,,-1.97,-1.77,2.46,58.5,11.9,
Fuxing China,AWK,FXCG.SI,11.922,143.366,,,Cyclical Consumer Products,54,0,-20,36,-12.82,-5.79,-6.42,,61.69,,0.1
G Invacom,QS9,GLOB.SI,25.384,156.616,,,Technology Equipment,68,-9.09,-7.22,16.88,-41.18,-11.73,-26.47,,29.17,,0.32
G K Goh,G41,GKHS.SI,238.735,115.061,,2.72,Industrial & Commercial Services,61,0,-1.34,-2.65,-10.37,0.08,-0.14,14.64,46.78,,0.67
Gallant Venture,5IG,GLVT.SI,678.162,1039.451,,,Automobiles & Auto Parts,75,4.17,8.7,13.64,5.93,-21.27,-17.56,,222.53,,0.47
GCCP,41T,GCCP.SI,11.94,2.465,,,Mineral Resources,49,-9.09,-28.57,42.86,-16.67,-110.56,-14,,22.49,-52.48,0.45
GDS Global,5VP,GDSG.SI,9.296,17.95,,3.61,Cyclical Consumer Products,63,0,-15.31,-15.31,,1.33,-1,5.34,0,24.26,
Genting Sing,G13,GENS.SI,8102.998,1651.47,40.83,5.97,Cyclical Consumer Services,83,-2.9,-12.99,-11.26,-27.57,11.99,2.54,14.42,3.4,,1.4
Geo Energy Res,RE4,GEOE.SI,148.137,396.616,4.06,,Energy - Fossil Fuels,93,-4.5,-5.36,32.5,-27.4,9.15,15.25,2.37,180.38,20.12,0.97
GKE,595,GKEC.SI,63.576,107.262,13.16,,Transportation,67,2.56,15.94,45.45,56.86,4.5,6.45,3.1,105.98,,0.68
GL,B16,GLLI.SI,710.504,350.61,,,Cyclical Consumer Services,60,-3.7,-13.33,-8.77,-32.47,-10.34,-2.72,58.79,19.48,,0.74
Global Dragon,586,GLOL.SI,28.643,1.64,,,Real Estate,73,0,2.44,-46.84,-27.59,-195.3,-9.05,,71.02,65.49,1.11
Global Inv,B73,GLNV.SI,239.614,1.556,,6.47,Collective Investments,105,2.96,2.21,10.32,0,-297.88,-1.5,,0,,0.7
Global Palm Res,BLW,GPRL.SI,19.99,25.712,,,Food & Beverages,55,7.78,-5.83,-35.33,-25.38,-8.42,-3.74,,0.26,,0.69
Global Testing,AYN,GTCL.SI,9.493,30.774,,,Technology Equipment,52,-10,-12.9,-6.9,-46,-5.76,-4.38,0.98,9.46,,0.53
Golden Agri-Res,E5H,GAGR.SI,1846.296,9037.96,16.22,4.03,Food & Beverages,81,2.13,-5.88,-8.28,-31.43,1.53,2.04,3.18,74.58,,0.67
Golden Energy,AUE,GOLD.SI,371.325,1648.99,19.53,,Energy - Fossil Fuels,70,-4.24,1.28,-16.4,-6.51,3.54,3.73,3.96,86.53,,1.01
Goodland,5PC,GLGP.SI,66.991,14.76,,0.88,Real Estate,54,6.25,3.03,3.03,-11.92,-27.38,-2.01,,32.72,,0.38
GP Industries,G20,GPEI.SI,276.32,1062.358,13.18,2.36,Industrial Goods,61,4.95,2.91,1.92,-6.99,2.73,5.24,4.17,135.69,,0.77
Grand Banks,G50,GBYL.SI,35.634,103.234,33.86,,Cyclical Consumer Products,94,6.04,13.53,-3.5,-29.82,1.02,1.9,5.81,29.05,,0.9
Grand Venture,JLB,GRAN.SI,64.42,48.911,16.95,,Industrial Goods,64,-5.17,19.57,17.02,25,7.77,11.96,6.62,77.69,31.4,1.72
Great Eastern,G07,GELA.SI,8666.472,16574.1,10.51,3.28,Insurance,95,-1.24,-6.58,-2.03,-15.11,5.07,9.93,9.41,4.96,,1.5
Green Build,Y06,GREE.SI,3.711,17.78,,,Industrial & Commercial Services,57,-6.25,-6.25,-57.14,,-10.35,-12.76,,815.28,-40.17,
GRP,BLU,GRPS.SI,30.024,23.035,,6.45,Real Estate,84,-8.82,-22.11,-7.19,-13.89,-18.56,-6.34,,2.77,-25.22,0.31
GS Hldg,43A,GSHO.SI,105.446,26.061,13.55,1.75,Cyclical Consumer Services,37,0,8.57,25.27,14,57.35,50.68,6.77,79.89,141.82,2.67
GSH,BDX,GSHC.SI,365.752,162.15,57.1,1.35,Cyclical Consumer Services,70,-2.63,-9.76,-1.07,-53.16,3.97,1.67,20.67,118.57,,2.2
GSS Energy,41F,GSSE.SI,25.837,91.79,6.82,,Industrial Goods,60,-7.14,-17.46,-3.7,-25.71,3.47,7.71,3.79,15.1,,0.9
Guoan Intl,G11,0143.HK,418.444,168.839,,,Technology Equipment,,-5.26,35,-20.59,-10,-28.87,-15.3,,138.71,8.9,1.7
GuocoLand,F17,GUOC.SI,1834.229,941.841,18.08,3.87,Real Estate,104,5.44,1.97,6.16,-23.27,9.56,2.24,17.1,106.1,,0.52
GYP Properties,AWS,GYPP.SI,25.928,8.645,,,Real Estate,60,-9.62,-7.84,-3.09,-18.97,-82.57,-9.99,,121.92,,0.49
Hafary,5VS,HFRY.SI,59.416,87.04,11.17,7.25,Cyclical Consumer Products,70,2.22,0,-13.75,-5.48,6.27,8.3,4.21,240.64,,
Hai Leck,BLH,HLHL.SI,92.697,95.351,22.57,2.22,Energy - Fossil Fuels,65,-10,12.5,-7.22,-13.46,4.3,3.43,8.54,0.02,14.87,0.85
Halcyon Agri,5VJ,HALC.SI,299.487,2398.098,,,Automobiles & Auto Parts,88,-8.29,-29.06,-46.29,-58.22,-2.35,-7.25,,201.61,,1
Hanwell,DM0,HANW.SI,162.734,449.946,13.33,0.88,Applied Resources,73,1.79,42.5,52.41,29.55,4.35,4.22,4.67,33.87,,0.4
Hatten Land,PH0,HATT.SI,89.057,,,0.06,Real Estate,58,0,13.73,-24.68,-42,,,,108.18,,1.16
Haw Par,H02,HPAR.SI,2096.854,181.4,13.05,3.16,,89,1.17,-3.07,-11.32,-28.02,88.57,5.65,12.55,0.78,,1.02
HC Surgical,1B1,HCSU.SI,46.176,16.723,13.08,6.56,Healthcare Services,64,-1.61,-4.69,-27.38,-45.54,24.16,19.35,8.59,2.52,,4.19
HealthBank,40B,HEAL.SI,10.794,0.378,,,Cyclical Consumer Services,46,0,0,0,345.16,-1688.13,-38.41,,1.94,-83.04,
Healthway Med,5NG,HEMC.SI,144.74,104.625,,,Healthcare Services,67,3.23,0,3.23,23.08,-1.65,-0.97,15.85,1.05,,0.76
Heatec Jietong,5OR,HTJT.SI,2.705,20.88,,,Cyclical Consumer Products,83,-8.33,22.22,-35.29,-43.59,-5.38,-7.82,37.32,57,-19.1,
Heeton,5DP,HEET.SI,92.67,48.315,,1.58,Real Estate,53,3.26,-2.06,-20.83,-35.23,-12.83,-1.09,,102.07,,0.33
Hengyang Petro,5PD,HNYG.SI,30.604,0,,,Energy - Fossil Fuels,59,0,-40,-40,-25,,-6.54,,0.02,,
HG Metal,BTG,HGMM.SI,23.51,119.507,42.15,,Mineral Resources,68,0,0,2.86,-10,0.83,0.55,3.95,17.11,,0.28
HGH,5GZ,HGHH.SI,16.028,19.023,,,Technology Equipment,54,12.5,0,28.57,0,-16.45,-5.63,7.91,2.39,-10.48,0.31
Hi-P,H17,HIPI.SI,1126.712,1338.207,12.96,1.78,Industrial Goods,69,16.51,4.1,30.93,-7.97,5.94,13.52,6.6,24.34,,2.01
Hiap Hoe,5JK,HIAP.SI,289.48,113.83,,2.46,Real Estate,74,-3.94,-8.27,-10.29,-23.75,-4.27,-0.64,9.95,99.88,,0.51
Hiap Seng,510,HSEN.SI,6.075,,,,Energy - Fossil Fuels,62,0,0,0,-33.33,,,,470.79,,4.19
Hiap Tong,5PO,HTCL.SI,18.176,58.758,,,Banking & Investment Services,59,3.51,-1.67,-11.94,-10.61,-13.82,-9.86,2.65,57.8,8.37,0.22
HL Global Ent,AVX,HLGE.SI,20.661,5.377,,,Cyclical Consumer Services,79,0,-10.2,-24.14,-37.14,-3.57,-0.25,25.57,0.35,,0.44
Ho Bee Land,H13,HBEE.SI,1594.581,214.763,3.96,3.52,Real Estate,76,0.89,9.13,14,-0.37,177.17,11.22,4.18,74.29,,0.48
Hock Lian Seng,J2T,HLSG.SI,128.026,133.655,11.79,2.4,Industrial & Commercial Services,68,0,-7.41,-5.66,-25.37,8.16,5.38,7.9,0,,0.85
Hoe Leong,H20,HLEC.SI,11.24,51.083,,,Industrial Goods,64,,,,,-31.23,-104.18,,124.68,-28.18,
Hong Fok,H30,HONG.SI,605.075,109.568,4.36,1.44,Real Estate,102,10.32,3.73,0,-14.72,101.32,5.62,5.35,43.14,,0.31
Hong Lai Huat,CTO,HONL.SI,31.293,21.386,,3.55,Real Estate,66,-9.62,12.8,0.71,-15.57,-0.53,-0.09,6.92,2.21,,0.36
Hong Leong Asia,H22,HLAA.SI,355.213,4190.738,10.67,2.11,Automobiles & Auto Parts,98,1.06,-3.06,-5.94,-18.1,3.32,4.21,1.4,113.97,,0.53
Hong Leong Fin,S41,HLSF.SI,1020.42,381.294,6.46,5.92,Banking & Investment Services,99,-1.72,-4.2,1.33,-12.31,44.95,4.6,10.73,2.53,,0.64
HongkongLand USD,H78,HKLD.SI,8775.569,2336,,5.85,Real Estate,,1.08,-6,-12.15,-30.37,-87.46,-5.48,,13.08,19.59,0.39
Hor Kew,BBP,HKEW.SI,13.277,51.988,4.03,,Industrial & Commercial Services,42,10.87,27.5,34.21,82.14,6.34,5.92,1.47,124.4,-8.39,0.14
Hosen,5EV,HSNG.SI,15.716,74.294,,,Food & Drug Retailing,59,4.76,57.14,91.3,37.5,-0.47,-0.04,19.67,39.05,11.38,0.44
Hotel Grand,H18,HGCS.SI,679.311,127.705,33.89,4.28,Cyclical Consumer Services,56,0.54,0,-0.53,-26.95,15.64,1.48,16.3,4.13,,0.7
Hotel Royal,H12,HTRS.SI,272.16,47.197,,0.93,Cyclical Consumer Services,92,-3.57,-11.18,-2.17,-10,-1.09,-0.08,35.46,17.06,,
Hotung Inv,BLS,HOTU.SI,148.247,17.887,14.93,8.45,Banking & Investment Services,39,-0.7,-3.4,-5.33,-7.79,57.31,3.23,13.99,0.47,,0.58
HPH Trust SGD,P7VU,,,,,,,,,,,,,,,,,
HPH Trust USD,NS8U,HPHT.SI,1202.225,1351.548,18.37,8.81,Transportation,73.9,4.55,32.69,7.81,-13.75,16.04,1.97,1.97,117.08,,0.6
HPL,H15,HPPS.SI,1486.247,423.971,,1.4,Cyclical Consumer Services,47,-1.38,-7.47,-2.19,-23.87,-10.19,-1.46,43.16,44.72,,0.91
HRnetGroup,CHZ,HRNE.SI,470.304,420.948,11.22,6.02,Industrial & Commercial Services,80,3.33,-6.06,-4.12,-19.13,10.72,13.03,8.86,3.55,,2.1
