Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
HS Optimus,504,HSOP.SI,32.283,26.462,,,Cyclical Consumer Products,66,0,50,200,100,-35.81,-13.77,,5.53,-12.65,0.29
Hu An Cable,KI3,HACH.SI,8.715,205.702,,,Industrial Goods,53,,,,,-124.17,-184.62,,51.95,-59.65,0.22
Huationg Global,41B,HUAT.SI,12.262,97.318,,,Industrial & Commercial Services,76,-10,6.58,3.85,-40,-17.71,-26.14,2.77,128.1,-35.19,0.29
Hwa Hong,H19,HWHS.SI,186.249,13.895,61.42,,Real Estate,74,0,-6.56,3.64,-9.52,21.52,1.64,32.45,43.22,,1.07
Hyflux,600,HYFL.SI,178.635,150.18,,,Utilities,38,,,,,-756.25,-247.15,,128.91,-62.41,0.33
Hyphens Pharma,1J5,HYPH.SI,126.181,125.076,16.29,2.38,,56,7.69,0,100,111.06,6.19,18.04,12.91,8.75,8.37,1.45
ICP Ltd,5I4,ICPL.SI,24.894,6.437,,,Real Estate,44,14.29,-11.11,0,14.29,-20.57,-3.9,21.28,68.51,42.85,0.76
IEV,5TN,IEVH.SI,20.719,2.903,,,Energy - Fossil Fuels,79,10.53,40,61.54,13.51,-120.62,-884.18,,,63.41,
IFAST,AIY,IFAS.SI,874.081,144.614,65.11,0.98,Banking & Investment Services,80,38.36,94.55,275.44,221,9.29,14.93,31.22,29.72,23.4,3.33
IFS Capital,I49,IFAC.SI,66.923,51.318,9.56,4.38,Banking & Investment Services,73,-6.32,-8.72,-6.32,-15.24,17.75,3.96,6.32,147.41,,0.46
IHH,Q0F,IHHH.KL,43374.004,13744.749,,0.81,Healthcare Services,,-7.13,-7.13,-5.17,-13.76,-2.01,-1.06,39.68,46.59,3.39,2.09
Imperium Crown,5HT,IMPE.SI,8.69,,,,Real Estate,75,-8.33,-8.33,37.5,-31.25,,,,0,,0.19
Inch Kenneth,I4R,IKEN.KL,191.441,11.918,,2.33,Cyclical Consumer Services,,-2.15,-7.14,-9.9,-24.79,-95.2,-1.85,,0,-23.62,0.38
Incredible,RDR,INCR.SI,3.298,7.548,,,Technology Equipment,76,-21.43,-15.38,175,175,-31.49,-58.73,,0.13,4.33,0.23
Indofood Agri,5JS,IFAR.SI,419.046,1297.859,,,Food & Beverages,74,-1.69,-1.69,-3.33,-9.38,-5.43,-5.15,6.95,103.82,,0.36
Informatics,BOU,INFO.SI,4.256,,,,Personal & Household Products & Services,56,-7.69,-22.58,-20,-47.83,,,,,,
InnoPac,I26,INPS.SI,8.858,-0.005,,,Real Estate,37,,,,,,-180.16,,0,-103.85,0.5
InnoTek,M14,INTK.SI,119.628,177.099,8.73,3.09,Technology Equipment,75,11.49,27.63,29.33,11.49,7.15,8,5.83,1.07,,0.77
Interra Resource,5GI,INTR.SI,26.842,17.665,70.13,,Energy - Fossil Fuels,65,-8.89,-24.07,-21.15,28.13,1.12,0.86,7.53,5.46,,0.54
Intl Cement,KUO,INTN.SI,292.471,136.317,17.17,,Mineral Resources,,45.71,155,131.82,131.82,21.28,8.26,7.66,4.94,,0.97
Intraco,I06,ITRS.SI,23.827,140.92,,,Industrial & Commercial Services,86,-6.12,0,9.52,4.55,-1.82,-3.8,,20.13,3.93,0.37
IP Softcom,571,IPSL.SI,24.157,25.004,,,Software & IT Services,50,0,32,266.67,560,-38.59,-24.35,,25.92,-18.9,
IPC Corp,AZA,IPCC.SI,12.197,2.532,,,Real Estate,61,2.14,-16.37,-28.5,-52.33,-1426.82,-42.17,,10.64,,0.27
IPS Securex,42N,IPSS.SI,40.824,19.324,20,,Technology Equipment,76,1.2,-8.7,23.53,180,10.54,26.92,14.12,1.08,,
IREIT Global,UD1U,IREI.SI,569.161,56.848,4.75,8.25,Real Estate,76,-7.64,-8.27,-0.85,-14.11,159.03,17.13,,63.67,,1.01
ISDN,I07,ISDN.SI,171.958,311.207,15.3,1.01,Industrial Goods,91,3.95,88.1,125.71,88.1,6.02,6.97,7.34,19.45,,0.64
ISEC,40T,ISEC.SI,176.219,37.481,36.08,1.56,Healthcare Services,79,1.59,4.92,6.67,-9.86,11.83,7.43,23.1,8.33,-8.2,2.97
Isetan,I15,ISET.SI,120.863,89.634,,1.71,Retailers,73,2.81,-2.98,0,-39.96,-31.71,-19.87,,67.08,,1.09
ISOTeam,5WF,ISOT.SI,52.255,127.241,5.75,2.8,Industrial & Commercial Services,76,5.63,-2.6,19.05,-34.78,5.27,12.41,4.55,57.13,17.73,0.94
IX Biopharma,42C,IXBI.SI,187.214,0.985,,,,61,22.73,0,68.75,22.73,-1065.89,-68.47,,18.69,,8.02
Jackspeed,J17,JACK.SI,39.464,0,5.52,,Automobiles & Auto Parts,67,0,0,0,5.65,,38.44,5.48,3.54,,
Jadason,J03,JADA.SI,19.505,38.871,,,Technology Equipment,56,-3.57,-6.9,28.57,-20.59,-39.49,-40.61,,40.49,,0.56
Japan Foods,5OI,JPFD.SI,52.331,68.413,51.28,4.17,Cyclical Consumer Services,82,-15.49,-7.69,-14.29,-31.82,1.49,3.12,2.48,0,,2.28
Japfa,UD2,JAPF.SI,1352.469,5211.021,5.08,1.53,Food & Beverages,82,8.26,0.77,14.91,41.6,5.75,20.6,4.76,196.1,4.48,0.94
Jardine C&C,C07,JCYC.SI,7034.304,21765.236,6.86,5.95,Automobiles & Auto Parts,91,-2.89,-12.22,-15.7,-40.86,11.54,11.5,1.75,128.62,,1.65
Jason Marine,5PF,JMGL.SI,15.158,30.204,6.84,3.5,Technology Equipment,70,-1.38,2.14,19.17,8.33,7.27,8.55,5.36,0,4.14,0.32
Jasper Inv,FQ7,JASP.SI,13.046,0,,,Energy - Fossil Fuels,41,50,50,200,50,,,,0,,515.21
Jawala,1J7,JAWA.SI,22.52,6.784,31.22,2.11,Applied Resources,59,-2.56,35.71,-20.83,,16.8,6.89,17.34,1.54,-47.98,
JB Foods,BEW,JBFO.SI,171.094,545.831,5.43,4.07,Food & Beverages,75,1.8,-0.88,15.31,-14.39,5.77,16.65,4.21,85.32,,1.13
JEP,1J4,JEPH.SI,73.268,86.644,9.4,,Industrial Goods,46,4.12,-10.61,-1.67,14.94,8.99,12.91,5.13,83.47,-0.31,1.07
JES Intl,EG0,JSIH.SI,31.625,0,,,Industrial Goods,12,,,,,,,,,-100,
Jiutian Chemical,C8R,JUTN.SI,116.705,189.409,,,Chemicals,54,42.22,300,433.33,392.31,-24.62,-45.61,,22.33,-23.89,0.24
JMH USD,J36,JARD.SI,29653.299,36656,,4.22,Industrial Conglomerates,,0.47,0.89,-24.13,-24.03,-0.16,-0.65,12.11,64.78,-11.4,0.77
Joyas Intl,E9L,JIHL.SI,6.634,0.307,,,Cyclical Consumer Products,47,0,50,200,200,-103.31,-24.13,,210.83,-30.56,2.13
JSH USD,J37,JSH.SI,21913.234,29414,,1.8,Industrial Conglomerates,,-4.26,-1.74,-16.83,-33.07,-0.72,-1.27,10.2,53.45,-11.28,1.2
Jubilee,NHD,JLJH.SI,7.192,133.848,,,Industrial Goods,59,-15.15,-33.33,-44,-74.07,-3.13,-11.1,,45.97,-18.23,0.67
Jumbo,42R,JUMB.SI,202.177,143.609,31.72,3.81,Cyclical Consumer Services,74,-4.55,-10,21.15,-14.86,3.35,9.45,13.02,0,,3.9
Karin Tech,K29,KARI.SI,64.352,309.513,76.48,5,Technology Equipment,80,-3.23,0,-6.25,-6.25,0.28,1.09,22.05,27.95,-1.9,0.84
Katrina,1A0,KATR.SI,20.837,69.608,,,Cyclical Consumer Services,51,-5.26,-10,-39.6,-39.6,-14.18,-141.39,1,836.54,-6.41,3.2
Kencana Agri,BNE,KCAL.SI,23.792,163.047,,,Food & Beverages,67,-3.49,23.88,25.76,-15.31,-6.85,-53.31,1.96,1003.2,,
Keong Hong,5TT,KEHO.SI,82.472,147.425,3.97,5.15,Industrial & Commercial Services,57,3.03,1.49,1.49,-23.6,13.73,9,3.27,58.49,,0.52
Kep Infra Tr,A7RU,KEPL.SI,2769.693,1621.564,32.32,6.7,Utilities,79.5,1.83,2.78,18.09,0.91,3.84,5.17,10.83,147.06,51.45,1.47
KepPacOakReitUSD,CMOU,KPEL.SI,668.147,134.662,8.91,8.61,Real Estate,91.5,-3.4,5.19,22.41,-6.58,53.08,10.16,,64.68,,0.97
Keppel Corp,BN4,KPLM.SI,8301.743,7447.003,,3.29,Industrial Conglomerates,122,6.54,-23.49,-19.43,-23.49,-2.21,-1.73,34.31,101.08,18.45,1.09
Keppel DC Reit,AJBU,KEPE.SI,4964.404,223.284,36.07,2.43,Real Estate,88.3,0.33,16.48,26.67,52,60.3,7.75,,51.05,,1.57
Keppel Reit,K71U,KASA.SI,3602.885,159.61,27.76,4.73,Real Estate,81.9,-3.64,-1.85,1.92,-15.2,98.58,2.84,22.9,51.89,3.37,0.89
Khong Guan,K03,KHON.SI,41.3,60.508,824.74,1.25,Food & Beverages,55,1.27,0,3.9,-20,0.31,0.08,39.79,0,5.08,0.85
KimHeng Offshore,5G2,KIMH.SI,22.72,43.069,,,Energy - Fossil Fuels,65,-11.11,6.67,33.33,-21.95,-15.57,-11.7,15.53,70.32,,0.66
Kimly,1D0,KIML.SI,335.38,211.54,15.62,4,Cyclical Consumer Services,67,14.29,24.44,36.59,24.44,9.73,23.32,8.49,0.05,,3.14
King Wan,554,KIWC.SI,19.554,72.398,46.67,,Industrial & Commercial Services,71,1.82,-27.27,-21.13,-29.11,0.58,0.67,12.9,23.25,,0.59
KingsmenCreative,5MZ,KMEN.SI,41.399,316.069,,4.88,Industrial & Commercial Services,54,0,-6.82,-6.82,-57.73,-2.32,-5.7,33.77,26.34,,0.88
Kitchen Culture,5TI,KCHL.SI,56.48,15.352,,,Retailers,71,-10.14,-48.85,82.19,64.2,-31.81,,,,38.92,
Koda,BJZ,KODA.SI,36.461,81.953,6.16,2.27,,92,2.33,4.76,8.64,-27.21,6.83,11,3.44,1.11,,
Koh Bros,K75,KBRO.SI,70.08,296.529,,1.56,Industrial & Commercial Services,60,-1.84,-1.84,-10.61,-21.95,-5.15,-4.91,10.17,119.2,,0.32
Koh Eco,5HV,KBEE.SI,63.953,239.836,,0.63,Industrial & Commercial Services,55,-8.57,-20,-25.58,-33.33,-3.68,-9.55,7.2,66.95,,0.74
Koon,5DL,KOON.SI,11.05,89.27,,,Industrial & Commercial Services,,,,,,-107.88,-974.66,,125.64,-20.38,
KOP,5I1,KOPL.SI,45.426,20.369,,,Cyclical Consumer Services,86,-2.38,-19.61,-6.82,-43.06,-13.23,-1.4,152.95,97.85,9.03,0.44
Kori,5VC,KORI.SI,19.146,14.718,221.84,0.26,Industrial & Commercial Services,74,0,-12.27,-3.5,-34.58,0.58,0.17,8.98,10.3,-31.31,
Koufu,VL6,KOUF.SI,363.31,210.613,22.56,3.05,Cyclical Consumer Services,74,-2.24,-4.38,5.65,-10.27,7.56,16.86,4.09,199.13,,4.06
Koyo Intl,5OC,KOYO.SI,14.237,13.264,,1.33,Industrial & Commercial Services,55,-6.25,2.74,13.64,10.29,-0.21,-0.14,37.37,0.7,-49.45,0.63
KrisEnergy,SK3,KRIS.SI,45.029,122.429,,,Energy - Fossil Fuels,78,,,,,-226.98,,,,-27.95,
KS Energy,578,KSTL.SI,17.148,39.982,,,Energy - Fossil Fuels,49,0,-38.1,30,160,-129.43,,,,20.89,
KSH,ER0,KSHH.SI,190.861,226.125,12.03,6.57,Industrial & Commercial Services,74,-1.47,-1.47,15.52,-25.56,6.82,4.82,10.72,47.43,,0.88
KTL Global,EB7,KTLG.SI,7.576,13.891,5.97,,Cyclical Consumer Services,57,26.32,-14.29,41.18,-56.36,60.32,,0.98,,-35.91,
KTMG,XCF,KTMG.SI,33.936,76.618,66.45,,Cyclical Consumer Products,55,-11.11,25,33.33,72.41,0.67,3.31,11.69,149.95,112.86,2.23
Lasseters Intl,5EL,LASS.SI,10.191,34.228,,,Cyclical Consumer Services,54,-4.55,75,75,,-18.11,-15.5,12.86,145.3,-21.4,
LCT,BJL,LCTH.SI,23.27,4.186,66.76,,Technology Equipment,32,0,31.46,46.25,17,9.58,1.01,50.77,0,,0.4
Leader Env,LS9,LETL.SI,71.857,7.252,,,Industrial & Commercial Services,52,-1.82,36.42,60.5,718.53,-65.82,-46.12,,93.81,-0.97,0.96
Lendlease Reit,JYEU,LEND.SI,785.103,,,,Real Estate,,-4.96,4.69,9.84,-29.47,,,,,,
Ley Choon,Q0X,LEYC.SI,14.218,79.177,,,Industrial & Commercial Services,84,-7.69,-7.69,0,-20,-9.93,-42.98,9.42,278.92,-23.01,0.64
LHN,41O,LHNL.SI,52.72,109.114,6.17,3.82,Real Estate,76,7.38,19.09,19.09,13.91,8.33,8.86,2.29,55.58,,0.69
LHT,BEI,LHTH.SI,31.415,36.645,7.32,5.08,Applied Resources,80,0,-15.71,3.51,16.83,11.71,8.26,3.76,7.91,-7.96,0.57
Lian Beng,L03,LIBG.SI,216.93,556.043,7.15,2.44,Industrial & Commercial Services,65,9.33,2.5,3.8,-18,6.05,4.09,4.27,84.08,,0.35
Libra,5TR,LIGL.SI,7.527,37.191,,,Industrial & Commercial Services,70,,,,,-69.52,-201.08,,160.83,-60.38,0.79
LifeBrandz,1D3,LIFE.SI,1.223,5.556,,,Cyclical Consumer Services,55,0,-33.33,100,0,-58.44,-598.9,,3.51,29.96,2.2
Linc Energy,BRE,LINC.SI,15.629,68.587,,,Energy - Fossil Fuels,56,,,,,-481.33,-1132.84,,323.38,-41.29,1.9
Lion Asiapac,BAZ,LIAS.SI,30.009,16.826,55.47,,Mineral Resources,56,2.78,0,12.89,-1.89,3.22,0.73,21.51,0,-48.28,0.4
LionGold,A78,LION.SI,64.412,76.227,8.7,,Mineral Resources,45,0,100,100,100,2.62,9.62,5.98,149.82,11.71,0.78
Lippo Malls Tr,D5IU,LMRT.SI,251.704,231.132,,14.88,Real Estate,90.5,-24.56,-34.35,-44.52,-64.17,-11.83,-4.1,,63.13,-12.02,0.62
Lonza,O6Z,LONN.S,44532.313,6018,52.69,0.46,,,4.51,8.89,46.68,76.56,14.09,13.4,59.69,61.29,10.65,3.95
Lorenzo Intl,5IE,LRZI.SI,6.748,27.553,,,Retailers,50,,,,,-7.59,,,,-5.2,
Low Keng Huat,F1E,LKH.SI,302.915,52.324,4.74,3.66,Industrial & Commercial Services,65,3.8,7.89,10.81,-7.87,120.37,9.52,4.43,121.36,,0.56
Lum Chang,L19,LUCS.SI,134.592,322.691,,3.71,Industrial & Commercial Services,65,0,-1.41,6.06,0,-1.89,-0.82,,82.73,,0.51
Lung Kee Bermuda,L09,0255.HK,1465.491,2112.229,10.02,9.05,Industrial Goods,,6.42,8.92,0,-4.92,6.93,6.9,4.83,0.41,-9.55,0.85
Luxking,BKK,LUKG.SI,4.99,80.798,384.95,,,59,0,6.76,6.76,1.28,0.02,0.06,1.48,103.06,5.72,0.17
Luzhou Bio-Chem,L46,LUZH.SI,16.678,375.311,,,Food & Beverages,46,0,-3.45,211.11,300,-3.32,,,,,
LY Corp,1H8,LYCO.SI,95.914,81.982,40.87,0.42,,74,14.62,3.16,15.29,4.81,2.34,3.25,18.76,2.37,,1.37
M Development,N14,MDVT.SI,3.84,0.017,,,Mineral Resources,25,,,,,16335.29,52.46,1.36,1.96,-98.98,
Magnus Energy,41S,MAGN.SI,12.633,15.176,,,Energy - Fossil Fuels,58,,,,,-16.59,-35.43,,0,-13.64,1.7
Man Oriental USD,M04,MOIL.SI,2336.92,382.4,,1.62,Cyclical Consumer Services,,1.09,22.52,32.14,12.12,-125.24,-12.24,,17.49,-34.68,0.54
Manhattan Res,L02,MANH.SI,164.258,11.774,,,Transportation,51,243.75,120,450,111.54,-95.52,-10.38,,3.66,,0.24
ManulifeReit USD,BTOU,MANU.SI,1171.37,193.144,,9.32,Real Estate,93.8,-5.73,4.96,2.07,-19.13,-2.43,-0.4,,64.67,,1.09
Mapletree Com Tr,N2IU,MACT.SI,6362.758,482.825,10.48,3.45,Real Estate,67.7,-4.95,0,4.92,-19.01,112.48,10.44,11.71,50.91,8.77,1.18
Mapletree Ind Tr,ME8U,MAPI.SI,7474.205,405.389,18.32,3.17,Real Estate,81.2,-5.07,8.16,30.86,23.74,92.95,11.35,19.83,45.55,5.52,1.47
Mapletree Log Tr,M44U,MAPL.SI,7888.735,503.337,21.06,,Real Estate,85.2,0.98,1.47,18.29,23.95,76.9,7.63,,62.99,7.41,1.24
Mapletree NAC Tr,RW0U,MAPE.SI,3030.203,354.478,23.18,7.92,Real Estate,90.2,0,-1.64,-3.23,-28,35.06,2.66,24.14,62.54,-13.26,0.91
MarcoPolo Marine,5LY,MAPM.SI,45.849,36.323,185.71,,Transportation,42,-7.14,-7.14,-7.14,-27.78,0.69,0.23,6.04,0.1,,0.48
Maruwa Yen1k,M12,5344.T,119389.797,39830.531,20.43,0.54,Technology Equipment,,2.01,16.83,45.33,29.88,14.62,10.01,14.67,0,-5.72,1.3
Mary Chia,5OX,MARY.SI,30.554,8.791,,,Personal & Household Products & Services,65,4.58,-10.61,68.42,113.33,-109.58,,,,-1.06,
Matex Intl,M15,MATE.SI,10.161,31.63,,,Chemicals,75,31.03,72.73,280,280,-26.45,-28.4,,49.55,-16.3,0.15
Maxi-Cash Fin,5UF,MAXI.SI,141.83,229.309,7.35,16.42,Retailers,71,0,8.73,5.38,9.6,8.47,13.55,4.39,241.66,,0.96
MDR Limited,Y3D,MDRT.SI,77.102,235.7,,3.65,Retailers,,-1.16,-15,-15,-57.5,-0.73,-1.31,20.11,40.14,,0.5
Medinex,OTX,MEDN.SI,28.866,,,7.64,Industrial & Commercial Services,84,-4.35,-8.33,10,-12,,,,,,
Medtecs Intl,546,MTCS.SI,724.316,269.449,13.45,0.88,Healthcare Services,55,23.36,111.2,1289.47,4158.06,19.99,48.31,11.32,62.49,189.7,0.17
MegaChem,5DS,MEGA.SI,46.655,110.024,10.1,4.29,Chemicals,83,0,52.17,9.38,9.38,4.35,9.31,7.74,49.91,-4.02,
MeGroup,SJY,MEGR.SI,22.719,80.508,54.8,0.29,Automobiles & Auto Parts,68,18.75,26.67,2.7,3.42,0.49,2.91,8.42,71.6,0.97,
Memiontec,SYM,MEMI.SI,45.153,,,0.56,Utilities,,-2.38,-6.82,-14.58,,,,,,,
Memories,1H4,MEMO.SI,19.059,13.253,,,Cyclical Consumer Services,,-24,-43.28,15.15,-41.54,-125.92,-22.48,,27.22,,0.38
Mencast,5NF,MCHL.SI,25.945,53.316,3.46,,Energy - Fossil Fuels,61,78.79,210.53,96.67,-26.25,10.83,30.83,1.48,644.92,-23.86,1.86
Mercurius,5RF,MERC.SI,33.731,0,,,Cyclical Consumer Products,51,-10.34,-21.21,-38.1,-45.83,,-62.15,,0,,110.27
Mermaid Maritime,DU4,MMPC.SI,79.047,126.989,,,Energy - Fossil Fuels,83,-16.42,-21.13,-9.68,-16.42,-35.65,-11.58,,20.28,-11.65,0.24
Metal Component,5DX,META.SI,7.857,36.221,,,Mineral Resources,56,-4.55,-12.5,5,31.25,-4.94,-11.95,7.9,74.99,-21.65,0.66
Metech Intl,V3M,METE.SI,12.205,27.469,,,Industrial & Commercial Services,39,-22.29,2.52,-21.29,-10.29,-3.61,-36.92,,167.18,,4
Metro,M01,MTHL.SI,590.4,210.254,18.23,2.82,Retailers,75,0,-5.96,0.71,-23.24,15.73,2.14,12.84,15.21,,0.54
Mewah Intl,MV4,MEWI.SI,374.698,3915.294,7.52,0.6,Food & Beverages,78,0,27.55,21.95,8.7,1.26,6.91,4.65,72.97,,0.59
MFG Integration,M11,MITD.SI,21.85,7.884,,206.59,Technology Equipment,74,0,3.41,13.75,3.41,-741.65,-159.39,,5.3,-53.48,0.55
Micro-Mechanics,5DD,MMEC.SI,353.141,64.208,24.1,3.94,Industrial Goods,110,11.89,37.3,56.79,48.46,22.82,25.18,16.48,3.11,6.43,3.72
Midas,5EN,MIDA.SI,366.17,,,,Mineral Resources,9,,,,,,,,,,
MindChamps,CNE,MIND.SI,70.064,53.013,10.17,,Personal & Household Products & Services,74,0,16,-14.71,-44.23,13.14,11.25,4.08,129.12,,2.6
Mirach Energy,AWO,MIEL.SI,1.619,2.972,0.31,,Food & Beverages,50,-36.36,-89.71,-93.64,-96.11,186.2,79.32,0.28,2.54,-57.43,13.35
Miyoshi,M03,MIYO.SI,22.669,49.703,,,Technology Equipment,90,5.71,27.59,37.04,5.71,-21.01,-17.07,,12.64,-5.02,0.38
MM2 Asia,1B0,MM2A.SI,206.979,235.774,62.02,,Cyclical Consumer Services,79,0,-9.18,-9.64,-24.26,2.67,1.54,4.89,104.12,,1.66
MMP Resources,F3V,MMPR.SI,4.687,0.089,,,Industrial & Commercial Services,48,0,-33.33,0,-33.33,-3564.04,,,,-63.37,
MoneyMax Fin,5WJ,MFSL.SI,62.269,165.721,5.59,5.68,Retailers,65,-4.35,10,22.22,11.39,7.6,14.28,2.62,22.91,,0.67
Moya Asia,5WE,MOYA.SI,264.826,229.408,9.83,,Industrial & Commercial Services,78,-1.56,3.28,10.53,-3.08,12.25,9.22,3.99,91.61,,1.16
MS Hldgs,40U,MSHO.SI,6.134,13.955,,,Industrial & Commercial Services,62,-22.92,-46.38,19.35,-28.85,-9.5,-5.16,2.71,114.4,-3.49,0.34
MSC,NPW,MSCB.KL,280,736.998,121.32,2.86,Mineral Resources,,0,2.19,9.38,-13.58,0.31,0.65,12.1,108.68,-38.26,1.01
MSM Intl,5QR,MSML.SI,2.952,24.467,,,Industrial Goods,57,0,0,0,-3.45,-12.24,-22.63,,118.63,-9.16,0.62
MTQ,M05,MTLS.SI,36.993,74.302,4.09,2.92,Energy - Fossil Fuels,72,-14.07,-25.65,-28.75,-16.59,9.07,13.78,2.68,59.61,56.41,
Multi-Chem,AWZ,MCHE.SI,113.52,482.905,10.16,3.49,Technology Equipment,73,11.5,60.51,54.49,76.72,2.75,10.48,7.1,8.54,,0.61
Mun Siong Engg,MF6,MSEL.SI,26.17,66.809,,0.89,Industrial & Commercial Services,76,-29.69,18.42,28.57,7.14,-0.33,-0.4,7.57,1.34,,0.49
